"name,followers,genres,spotify_url,image_url"
"Pop Smoke,14772617,""brooklyn drill, hip hop, rap"",""https://open.spotify.com/artist/0eDvMgVFoNV3TpwtrVCoTj"",""https://i.scdn.co/image/ab6761610000e5eb597f9edd2cd1a892d4412b09"""
"Poppy,1490119,""alt z"",""https://open.spotify.com/artist/5mlbvTfWUOfDrUIK6dkNzv"",""https://i.scdn.co/image/ab6761610000e5ebdee6c517fd076a2f1f8a2723"""
"Poppy Baskcomb,13746,"""",""https://open.spotify.com/artist/4STmXOXUF3UieHU46NWLVt"",""https://i.scdn.co/image/ab6761610000e5eb296b862a0c544c4d50050e7f"""
"The Weeknd,95834608,""canadian contemporary r&b, canadian pop, pop"",""https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ"",""https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae"""
"Pop,1935,"""",""https://open.spotify.com/artist/6VTJXNmmevnkJNTxh5sHuJ"",""https://i.scdn.co/image/ab6761610000e5eb43411aadd00d9a08519e28ac"""
"Popcaan,1182484,""dancehall, jamaican hip hop, reggae fusion, traphall"",""https://open.spotify.com/artist/62DmErcU7dqZbJaDqwsqzR"",""https://i.scdn.co/image/ab6761610000e5ebf502679688eab84d1612616e"""
"Pop,17,"""",""https://open.spotify.com/artist/6z1ICS39sVbupILPXKHNZt"",""https://i.scdn.co/image/ab67616d0000b2736c8f609e5b2a5fbc2eaed1b8"""
"Pop Mage,14865,"""",""https://open.spotify.com/artist/4YOM5excFC1lf3sDs1fsh3"",""https://i.scdn.co/image/ab6761610000e5ebf0fddc9009f2eff84ef6b286"""
"POP,6,"""",""https://open.spotify.com/artist/6cuNjCHnsgA9sN6tYsQsst"","""""
"Pop Evil,580532,""alternative metal, nu metal, post-grunge"",""https://open.spotify.com/artist/1pRaG81GsVtaTBuVSpldt2"",""https://i.scdn.co/image/ab6761610000e5ebb1681e4b4cee991b95fe778e"""
